City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Samarai,PG,-10.6167,150.6667,80.53,81,11,13.29,few clouds
306,Manaure,CO,11.7751,-72.4445,80.29,79,12,14.65,few clouds
307,Kaabong,UG,3.4836,34.1492,67.98,72,100,3.36,light rain
308,Pevek,RU,69.7008,170.3133,32.34,94,100,19.77,overcast clouds
309,Haapiti,PF,-17.5667,-149.8667,74.93,74,99,26.8,overcast clouds
310,Gladstone,AU,-23.85,151.25,69.73,52,0,8.05,clear sky
311,Sur,OM,22.5667,59.5289,91.45,57,39,6.76,scattered clouds
312,Nchelenge,ZM,-9.3451,28.734,70.11,41,3,6.11,clear sky
313,Poum,NC,-20.2333,164.0167,75.67,81,0,6.11,clear sky
314,Port Hardy,CA,50.6996,-127.4199,57.2,93,0,3.44,clear sky
315,Kyra,RU,49.5776,111.9753,66.09,40,18,13.4,few clouds
316,Maceio,BR,-9.6658,-35.7353,72.84,88,75,1.14,broken clouds
317,Bathsheba,BB,13.2167,-59.5167,81.21,96,40,11.5,scattered clouds
318,Batetskiy,RU,58.6461,30.3027,63.05,59,0,5.37,clear sky
319,Cidreira,BR,-30.1811,-50.2056,55.38,94,100,10.83,overcast clouds
320,Boyolangu,ID,-8.1181,111.8935,79.81,72,87,9.98,overcast clouds
321,Roma,US,43.2128,-75.4557,75.72,96,100,4.61,overcast clouds
322,Buchanan,LR,5.8808,-10.0467,74.5,83,100,6.87,overcast clouds
323,Araguaina,BR,-7.1911,-48.2072,73.99,52,24,3.94,few clouds
324,Fethiye,TR,36.6217,29.1164,85.87,60,0,6.91,clear sky
325,Saravan,AM,39.7196,45.6483,75.69,47,2,5.79,clear sky
326,Belaya Gora,RU,68.5333,146.4167,63.75,44,100,16.02,overcast clouds
327,Hasaki,JP,35.7333,140.8333,88.29,81,64,11.61,moderate rain
328,Isangel,VU,-19.55,169.2667,76.08,86,54,6.42,broken clouds
329,Saint-Pierre,RE,-21.3393,55.4781,77.92,72,100,9.22,overcast clouds
330,Lakselv,NO,70.0513,24.9718,49.82,81,100,21.85,overcast clouds
331,Grand Forks,US,47.9417,-97.4337,53.78,93,100,5.75,overcast clouds
332,Jiuquan,CN,39.7432,98.5174,82.85,28,79,8.61,broken clouds
333,Macae,BR,-22.3708,-41.7869,67.75,94,0,1.14,clear sky
334,Bandar-E Lengeh,IR,26.5579,54.8807,98.71,53,1,13.8,haze
335,Port Antonio,JM,18.18,-76.4612,80.51,84,98,4.63,overcast clouds
336,Muros,ES,42.7762,-9.0603,72.16,83,5,0.98,clear sky
337,Xiamen,CN,24.4798,118.0819,87.85,70,75,8.95,broken clouds
338,Brigantine,US,39.4101,-74.3646,79.0,87,0,6.91,clear sky
339,Rawlins,US,41.7911,-107.2387,59.36,82,0,0.0,clear sky
340,Mogadishu,SO,2.0371,45.3438,82.27,69,40,17.27,scattered clouds
341,Kruisfontein,ZA,-34.0033,24.7314,57.88,85,96,19.8,light rain
342,Bintulu,MY,3.1667,113.0333,91.81,66,20,5.99,few clouds
343,Bisignano,IT,39.5059,16.2772,85.57,53,0,1.01,clear sky
344,La Palma,US,33.8464,-118.0467,80.11,76,0,8.05,clear sky
